,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,1611047071451,http://cd.lianjia.com/xiaoqu/1611047071451,卓锦城二期,成都,锦江,卓锦城,11817,2008年建成,24栋,1488户,成都盛吉立房地产开发有限公司,1.65元/平米/月,成都幸福家园物业管理有限公司,板楼/塔板结合/平房,(锦江卓锦城)成龙大道一段9号
0,1611041551659,http://cd.lianjia.com/xiaoqu/1611041551659,摩玛城,成都,锦江,三官堂,13656,2011年建成,4栋,1528户,成都市黄和投资有限公司,2.1元/平米/月,成都荣泰物业管理有限公司,塔楼/板楼,(锦江三官堂)二环路东五段366号
0,3011053261179,http://cd.lianjia.com/xiaoqu/3011053261179,蓝谷地天域,成都,锦江,蓝谷地,11158,2009年建成,10栋,2518户,成都融创国嘉置业有限公司,1.5元/平米/月,四川威德酒店物业管理有限公司,塔楼/塔板结合,(锦江蓝谷地)水杉街166号
0,1611059601791,http://cd.lianjia.com/xiaoqu/1611059601791,世代锦江凯旋门,成都,锦江,盐市口,18364,2008年建成,1栋,300户,成都其士房地产发展有限公司,2元/平米/月,街道办事处（委员会）代管物业,塔楼,(锦江盐市口)滨江西路8号
0,3011052687630,http://cd.lianjia.com/xiaoqu/3011052687630,皇经嘉苑,成都,锦江,琉璃场,8532,2010年建成,5栋,1609户,成都市住房储备中心,1.2元/平米/月,私人承办物业,板楼/塔板结合,(锦江琉璃场)经天西路69号
0,1611062923844,http://cd.lianjia.com/xiaoqu/1611062923844,吉宝凌云峰阁,成都,锦江,攀成钢,22461,2015年建成,8栋,1573户,新加坡吉宝置业成都希瑞房地产开发有限公司,4.6元/平米/月,成都家园经营管理有限公司,板楼,(锦江攀成钢)汇泉南路333号
0,1611059198261,http://cd.lianjia.com/xiaoqu/1611059198261,城市理想,成都,锦江,盐市口,23658,2010年建成,2栋,2028户,成都市锦江区统一建设办公室,6元/平米/月,成都恒景物业管理有限公司,塔楼/板楼,(锦江盐市口)梨花街12号
0,3011052712988,http://cd.lianjia.com/xiaoqu/3011052712988,正成翡翠琉璃,成都,锦江,琉璃场,7278,2012年建成,1栋,1161户,成都市正成投资开发有限公司,1.62元/平米/月,成都市中骏物业管理有限公司,塔楼/板楼,(锦江琉璃场)经天西路17号
0,1611041535054,http://cd.lianjia.com/xiaoqu/1611041535054,万达锦华城,成都,锦江,东湖,10497,2008年建成,1栋,2561户,成都万达城投资有限公司,1.75元/平米/月,成都万达广场商业管理有限公司,塔楼,(锦江东湖)锦华路一段8号
0,1611043132293,http://cd.lianjia.com/xiaoqu/1611043132293,国嘉新视界,成都,锦江,九眼桥,12904,2009年建成,3栋,931户,四川省国嘉地产有限公司,1.8至3元/平米/月,四川省国嘉物业服务有限公司,塔楼/板楼/塔板结合,(锦江九眼桥)锦东路668号
0,3011054640201,http://cd.lianjia.com/xiaoqu/3011054640201,雕墅,成都,锦江,盐市口,22920,2007年建成,2栋,607户,成都市金鸿实业有限责任公司,1.8元/平米/月,四川金阳物业管理有限责任公司,塔楼/板楼/塔板结合,(锦江盐市口)锦兴路1号
0,1611043090288,http://cd.lianjia.com/xiaoqu/1611043090288,东湖国际,成都,锦江,东湖,18282,2012年建成,11栋,2252户,成都瑞湖置业开发有限公司,1.75至3元/平米/月,深圳市长城物业管理有限公司,塔楼/板楼/塔板结合,(锦江东湖)琉璃路299号
0,1611061037822,http://cd.lianjia.com/xiaoqu/1611061037822,ICC天曜,成都,锦江,东大路,18581,2015年建成,10栋,943户,祥宝投资（成都）有限公司,4.5元/平米/月,上海启胜物业管理服务有限公司,板楼,(锦江东大路)通源街88号
0,3011052708655,http://cd.lianjia.com/xiaoqu/3011052708655,天悦龙庭,成都,锦江,琉璃场,13956,2014年建成,10栋,1369户, 龙光地产控股有限公司,2.6元/平米/月, 广东龙光集团物业管理有限公司成都分公司,塔楼/板楼/塔板结合,(锦江琉璃场)科创路501号
0,1611043129257,http://cd.lianjia.com/xiaoqu/1611043129257,翡翠城二期,成都,锦江,东湖,24661,2006年建成,20栋,1168户,华润置地（成都）发展有限公司,1.89至4元/平米/月,华润置地（成都）物业服务有限公司,塔楼/板楼,(锦江东湖)华润路2号
0,1611058066211,http://cd.lianjia.com/xiaoqu/1611058066211,仁恒滨河湾,成都,锦江,东大路,22546,2016年建成,11栋,1623户,新加坡仁恒置地,5元/平米/月,成都仁恒物业管理有限公司,板楼/塔板结合,(锦江东大路)汇源东路88号
0,1611058951397,http://cd.lianjia.com/xiaoqu/1611058951397,三洲娇子苑,成都,锦江,红星路,17239,2005年建成,4栋,585户,四川省三洲置业有限公司,0.6至1.5元/平米/月,四川高路物业服务有限公司,塔楼/板楼,(锦江红星路)武城大街1号
0,1611057880741,http://cd.lianjia.com/xiaoqu/1611057880741,城东雅郡,成都,锦江,东光,10048,2005年建成,21栋,1420户,成都恒远房地产开发有限责任公司,1.5元/平米/月,成都精诚物业管理有限责任公司,板楼,(锦江东光小区)静安路368号
