,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,1611043075773,http://cd.lianjia.com/xiaoqu/1611043075773,水碾河路南46号,成都,锦江,水碾河,9601,1998年建成,17栋,959户,无开发商,暂无信息,街道办事处（委员会）代管物业,板楼,(锦江水碾河)水碾河路南46号
0,1611099881017,http://cd.lianjia.com/xiaoqu/1611099881017,东新街1号院,成都,锦江,红星路,9558,暂无信息,1栋,14户,暂无信息,暂无信息,暂无信息,未知类型,(锦江红星路)东新街1号
0,3011053861260,http://cd.lianjia.com/xiaoqu/3011053861260,东兴苑,成都,锦江,静居寺,9695,2000年建成,1栋,112户,无开发商,0.6元/平米/月,小区物管处,板楼,(锦江静居寺)锦华路一段125号
0,3011053915835,http://cd.lianjia.com/xiaoqu/3011053915835,糍粑店街4号,成都,锦江,静居寺,10563,2002年建成,2栋,68户,暂无信息,0.9元/平米/月,暂无信息,板楼,(锦江静居寺)糍粑店街4号
0,3011053720411,http://cd.lianjia.com/xiaoqu/3011053720411,昭忠祠街52号,成都,锦江,红星路,10700,暂无信息,3栋,196户,暂无信息,暂无信息,暂无信息,未知类型,(锦江红星路)昭忠祠街52号
0,1612148766945979,http://cd.lianjia.com/xiaoqu/1612148766945979,义学仁家,成都,锦江,合江亭,10986,暂无信息,1栋,128户,暂无信息,暂无信息,暂无信息,塔楼/板楼,(锦江合江亭)义学巷1号
0,1611042543500,http://cd.lianjia.com/xiaoqu/1611042543500,水碾河南路1号,成都,锦江,水碾河,10818,暂无信息,3栋,179户,暂无信息,暂无信息,暂无信息,板楼,(锦江水碾河)水碾河南路1号
0,1611047040945,http://cd.lianjia.com/xiaoqu/1611047040945,莲花新区北三巷2号,成都,锦江,莲花,10466,暂无信息,1栋,28户,暂无信息,暂无信息,暂无信息,未知类型,(锦江莲花)莲花新区北三巷2号
0,1617976444619181,http://cd.lianjia.com/xiaoqu/1617976444619181,建设南村53号,成都,锦江,水碾河,10972,暂无信息,1栋,48户,暂无信息,暂无信息,暂无信息,板楼,(锦江水碾河)建设南村53号
0,3011053714618,http://cd.lianjia.com/xiaoqu/3011053714618,昭忠祠街20号,成都,锦江,红星路,10901,2000年建成,1栋,33户,无开发商,0.5元/平米/月,街道办事处（委员会）代管物业,板楼,(锦江红星路)昭忠祠街20号
0,1611041843438,http://cd.lianjia.com/xiaoqu/1611041843438,莲桂南路22号,成都,锦江,莲花,10137,2000年建成,3栋,128户,无开发商,0.3至1元/平米/月,业主自筹物业,板楼,(锦江莲花)莲桂南路22号
0,3011054653834,http://cd.lianjia.com/xiaoqu/3011054653834,康庄街26号,成都,锦江,盐市口,10293,2000年建成,2栋,49户,无开发商,0.5元/平米/月,业主自筹物业,板楼,(锦江盐市口)康庄街26号
0,1611060884974,http://cd.lianjia.com/xiaoqu/1611060884974,青龙横街37号,成都,锦江,合江亭,10653,2000年建成,8栋,373户,无开发商,暂无信息,街道办事处（委员会）代管物业,板楼,(锦江合江亭)青龙横街37号
0,1611041878549,http://cd.lianjia.com/xiaoqu/1611041878549,莲桂西路15号,成都,锦江,莲花,10778,1991年建成,4栋,292户,无开发商,1元/平米/月,业主自筹物业,板楼,(锦江莲花)莲桂西路15号
0,1611099544323,http://cd.lianjia.com/xiaoqu/1611099544323,冻青树街70号,成都,锦江,盐市口,11270,1993年建成,3栋,98户,无开发商,0.5元/平米/月,业主自筹物业,板楼,(锦江盐市口)冻青树街70号
0,1611059670059,http://cd.lianjia.com/xiaoqu/1611059670059,五世同堂街72号,成都,锦江,红星路,11244,1995年建成,1栋,98户,无开发商,暂无信息,街道办事处（委员会）代管物业,塔板结合,(锦江红星路)五世同堂街72号
0,1615148026726690,http://cd.lianjia.com/xiaoqu/1615148026726690,东升街46号,成都,锦江,合江亭,10938,暂无信息,1栋,30户,暂无信息,暂无信息,暂无信息,板楼,(锦江合江亭)东升街46号
0,1611042665018,http://cd.lianjia.com/xiaoqu/1611042665018,点将台街48号,成都,锦江,合江亭,11143,1999年建成,3栋,164户,无开发商,0.5元/平米/月,街道办事处（委员会）代管物业,板楼,(锦江合江亭)点将台街48号
0,1611043099677,http://cd.lianjia.com/xiaoqu/1611043099677,较场坝西街11号,成都,锦江,合江亭,11562,2000年建成,11栋,798户,无开发商,0.5元/平米/月,街道办事处（委员会）代管物业,板楼/塔板结合,(锦江合江亭)较场坝西街11号
0,3011054638576,http://cd.lianjia.com/xiaoqu/3011054638576,慈惠堂街34号,成都,锦江,盐市口,12002,2000年建成,3栋,134户,无开发商,0.5元/平米/月,业主自筹物业,板楼,(锦江盐市口)慈惠堂街34号
0,3011054647509,http://cd.lianjia.com/xiaoqu/3011054647509,拐枣树街37号,成都,锦江,盐市口,11569,暂无信息,3栋,66户,暂无信息,暂无信息,暂无信息,未知类型,(锦江盐市口)拐枣树街37号
0,1611047653778,http://cd.lianjia.com/xiaoqu/1611047653778,龙舟路66号,成都,锦江,三官堂,9727,1996年建成,1栋,63户,无开发商,1.2元/平米/月,业主自筹物业,板楼,(锦江三官堂)龙舟路66号
0,3011054499381,http://cd.lianjia.com/xiaoqu/3011054499381,明珠园三期,成都,锦江,静居寺,11569,2004年建成,4栋,147户,成都安信置业发展有限公司 ,0.5元/平米/月,私人承办物业,板楼/塔板结合,(锦江静居寺)安信路1号
0,1611100698930,http://cd.lianjia.com/xiaoqu/1611100698930,玉沙路189号,成都,锦江,盐市口,10776,1992年建成,3栋,133户,暂无信息,暂无信息,暂无信息,未知类型,(锦江盐市口)玉沙路189号
0,1611099497581,http://cd.lianjia.com/xiaoqu/1611099497581,暑袜北一街132号,成都,锦江,盐市口,11314,1997年建成,2栋,118户,无开发商,0.5元/平米/月,业主自筹物业,板楼,(锦江盐市口)暑袜北一街132号
0,1616230654423891,http://cd.lianjia.com/xiaoqu/1616230654423891,水碾河南三街社区,成都,锦江,水碾河,9888,暂无信息,1栋,112户,暂无信息,暂无信息,暂无信息,塔楼,(锦江水碾河)水碾河南三街
0,1611044905577,http://cd.lianjia.com/xiaoqu/1611044905577,海椒市街9号,成都,锦江,九眼桥,9749,1997年建成,2栋,43户,成都市锦江区统一建设办公室,0.5元/平米/月,小区物管处,板楼,(锦江九眼桥)海椒市街9号
0,1611100897870,http://cd.lianjia.com/xiaoqu/1611100897870,崇德里9号,成都,锦江,合江亭,9877,暂无信息,1栋,28户,暂无信息,暂无信息,暂无信息,未知类型,(锦江合江亭)崇德路9号
0,168418679861426,http://cd.lianjia.com/xiaoqu/168418679861426,燕鲁公所街10号,成都,锦江,盐市口,9962,2000年建成,1栋,28户,暂无信息,0.5元/平米/月,小区物管处,板楼,(锦江盐市口)燕鲁公所街10号
0,1611042527409,http://cd.lianjia.com/xiaoqu/1611042527409,一环路东四段12号,成都,锦江,水碾河,10045,1997年建成,1栋,57户,无开发商,暂无信息,街道办事处（委员会）代管物业,板楼,(锦江水碾河)一环路东四段12号
0,3011053864535,http://cd.lianjia.com/xiaoqu/3011053864535,东怡街7号,成都,锦江,静居寺,10212,1999年建成,1栋,105户,无开发商,0.6元/平米/月,私人承办物业,板楼,(锦江静居寺)东怡街7号
0,3011054130325,http://cd.lianjia.com/xiaoqu/3011054130325,南光工人村宿舍,成都,锦江,静居寺,10379,暂无信息,12栋,363户,暂无信息,暂无信息,暂无信息,未知类型,(锦江静居寺)北顺西巷
0,1611042543668,http://cd.lianjia.com/xiaoqu/1611042543668,水碾河南路65号,成都,锦江,水碾河,10344,1998年建成,2栋,74户,无开发商,0.8至1.2元/平米/月,街道办事处（委员会）代管物业,板楼,(锦江水碾河)水碾河南路65号
0,3011052665395,http://cd.lianjia.com/xiaoqu/3011052665395,海椒市15号院,成都,锦江,莲花,10728,暂无信息,56栋,3160户,暂无信息,暂无信息,暂无信息,板楼,(锦江莲花)海椒市街
0,1611060041456,http://cd.lianjia.com/xiaoqu/1611060041456,三槐树路85号,成都,锦江,红星路,10484,1994年建成,1栋,28户,暂无信息,暂无信息,小区物管处,板楼,(锦江红星路)三槐树路85号
0,1611042526511,http://cd.lianjia.com/xiaoqu/1611042526511,宏济中路39号,成都,锦江,九眼桥,10811,1990年建成,5栋,185户,暂无信息,暂无信息,小区物管处,板楼,(锦江九眼桥)宏济中路39号
0,3011053567987,http://cd.lianjia.com/xiaoqu/3011053567987,花果新居二期,成都,锦江,沙河堡,11096,2001年建成,3栋,904户,成都市中锦建设投资有限责任公司,0.5元/平米/月,私人承办物业,板楼,(锦江沙河堡)菱窠路130号
0,168374642553786,http://cd.lianjia.com/xiaoqu/168374642553786,较场坝西街67号,成都,锦江,合江亭,10718,1995年建成,2栋,128户,无开发商,暂无信息,街道办事处（委员会）代管物业,板楼,(锦江合江亭)较场坝西街67号
0,1611837222432184,http://cd.lianjia.com/xiaoqu/1611837222432184,七家巷8号,成都,锦江,盐市口,10859,暂无信息,1栋,56户,暂无信息,暂无信息,暂无信息,塔板结合,(锦江盐市口)七家巷8号
